City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Bonthe,SL,2022-11-09 17:25:45,7.5264,-12.505,82.89,69,71,10.47
68,Springfield,US,2022-11-09 17:24:27,37.2153,-93.2982,76.89,67,0,16.11
69,Zhuhai,CN,2022-11-09 17:23:48,22.2769,113.5678,74.98,88,20,3.44
70,Sindor,RU,2022-11-09 17:20:47,62.8629,51.8905,31.71,98,100,2.71
71,Aquidaba,BR,2022-11-09 17:25:46,-10.2814,-37.0186,89.58,40,15,8.95
72,Kaputa,ZM,2022-11-09 17:25:46,-8.4689,29.6619,69.8,84,100,2.21
73,Hervey Bay,AU,2022-11-09 17:25:46,-25.2986,152.8535,68.41,71,2,14.67
74,Erzin,TR,2022-11-09 17:25:47,36.9559,36.2,59.77,67,47,6.82
75,Paamiut,GL,2022-11-09 17:25:47,61.994,-49.6678,24.21,68,100,9.28
76,Georgetown,MY,2022-11-09 17:25:47,5.4112,100.3354,81.9,88,20,0.0
77,College,US,2022-11-09 17:24:24,64.8569,-147.8028,21.15,89,100,0.0
78,Aykhal,RU,2022-11-09 17:25:48,66.0,111.5,5.5,97,100,7.27
79,Vanimo,PG,2022-11-09 17:25:48,-2.6741,141.3028,77.76,90,100,5.68
80,Ibirama,BR,2022-11-09 17:25:48,-27.0569,-49.5178,79.32,39,24,2.21
81,Hami,CN,2022-11-09 17:25:49,42.8,93.45,43.41,47,77,1.57
82,Pervomaysk,UA,2022-11-09 17:25:49,48.0443,30.8507,47.39,73,18,6.64
83,Kuldiga,LV,2022-11-09 17:25:49,56.974,21.9572,51.49,91,100,8.97
84,Lebanon,US,2022-11-09 17:24:25,36.2081,-86.2911,76.26,41,0,0.0
85,Thompson,CA,2022-11-09 17:25:50,55.7435,-97.8558,6.96,78,20,9.22
86,Atuona,PF,2022-11-09 17:25:50,-9.8,-139.0333,77.38,68,71,17.87
87,Carnarvon,AU,2022-11-09 17:25:50,-24.8667,113.6333,66.16,71,24,13.44
88,Bayan,CN,2022-11-09 17:25:51,46.0833,127.4,32.47,51,82,4.76
89,Mataura,NZ,2022-11-09 17:25:51,-46.1927,168.8643,35.94,98,5,2.17
90,Flinders,AU,2022-11-09 17:25:51,-34.5833,150.8552,59.18,82,0,5.99
91,Itarema,BR,2022-11-09 17:25:52,-2.9248,-39.9167,86.74,56,100,15.82
